Timestamp,NodeID,Environment,RSSI,LQI
2026-02-27 09:23:35.650,0,262545,-62,0
2026-02-27 09:23:35.651,1,262557,-57,0
2026-02-27 09:23:35.651,3,262593,-71,0
2026-02-27 09:23:35.651,2,262599,-69,0
2026-02-27 09:23:35.651,1,262647,-56,0
2026-02-27 09:23:35.651,0,262650,-62,0
2026-02-27 09:23:35.652,2,262704,-68,0
2026-02-27 09:23:35.652,3,262713,-72,0
2026-02-27 09:23:35.652,0,262740,-62,0
2026-02-27 09:23:35.652,1,262752,-55,0
2026-02-27 09:23:35.652,3,262773,-72,0
2026-02-27 09:23:35.652,2,262794,-67,0
2026-02-27 09:23:35.652,0,262845,-62,0
2026-02-27 09:23:35.652,1,262857,-58,0
2026-02-27 09:23:35.652,2,262899,-64,0
2026-02-27 09:23:35.653,3,262923,-69,0
2026-02-27 09:23:35.653,1,262947,-56,0
2026-02-27 09:23:35.653,0,262950,-61,0
2026-02-27 09:23:35.653,3,262983,-70,0
2026-02-27 09:23:35.653,2,263004,-63,0
2026-02-27 09:23:35.653,0,263040,-61,0
2026-02-27 09:23:35.653,1,263052,-56,0
2026-02-27 09:23:35.653,2,263094,-62,0
2026-02-27 09:23:35.654,3,263103,-73,0
2026-02-27 09:23:35.654,0,263145,-61,0
2026-02-27 09:23:35.654,1,263157,-55,0
2026-02-27 09:23:35.654,3,263163,-67,0
2026-02-27 09:23:35.654,2,263199,-66,0
2026-02-27 09:23:35.654,1,263247,-57,0
2026-02-27 09:23:35.654,0,263251,-63,0
2026-02-27 09:23:35.654,3,263283,-74,0
2026-02-27 09:23:35.655,2,263304,-64,0
2026-02-27 09:23:35.655,0,263341,-63,0
2026-02-27 09:23:35.655,1,263352,-55,0
2026-02-27 09:23:35.655,2,263394,-66,0
2026-02-27 09:23:35.655,3,263403,-70,0
2026-02-27 09:23:35.655,0,263446,-62,0
2026-02-27 09:23:35.655,1,263457,-56,0
2026-02-27 09:23:35.655,3,263463,-70,0
2026-02-27 09:23:35.656,2,263499,-67,0
2026-02-27 09:23:35.698,0,263551,-62,0
2026-02-27 09:23:35.709,1,263562,-55,0
2026-02-27 09:23:35.730,3,263583,-70,0
2026-02-27 09:23:35.751,2,263604,-68,0
2026-02-27 09:23:35.799,1,263652,-55,0
2026-02-27 09:23:35.804,0,263656,-61,0
2026-02-27 09:23:35.841,2,263694,-66,0
2026-02-27 09:23:35.850,3,263703,-70,0
2026-02-27 09:23:35.893,0,263746,-61,0
2026-02-27 09:23:35.904,1,263757,-55,0
2026-02-27 09:23:35.910,3,263763,-71,0
2026-02-27 09:23:35.946,2,263799,-65,0
2026-02-27 09:23:35.998,0,263851,-60,0
2026-02-27 09:23:36.009,1,263862,-57,0
2026-02-27 09:23:36.030,3,263883,-71,0
2026-02-27 09:23:36.051,2,263904,-63,0
2026-02-27 09:23:36.099,1,263952,-57,0
2026-02-27 09:23:36.102,0,263956,-62,0
2026-02-27 09:23:36.150,3,264003,-72,0
2026-02-27 09:23:36.156,2,264009,-64,0
2026-02-27 09:23:36.193,0,264046,-60,0
2026-02-27 09:23:36.204,1,264057,-57,0
2026-02-27 09:23:36.240,3,264093,-73,0
2026-02-27 09:23:36.247,2,264099,-63,0
2026-02-27 09:23:36.298,0,264151,-62,0
2026-02-27 09:23:36.309,1,264162,-56,0
2026-02-27 09:23:36.351,2,264204,-63,0
2026-02-27 09:23:36.360,3,264213,-74,0
2026-02-27 09:23:36.403,0,264256,-62,0
