Timestamp,NodeID,Environment,RSSI,LQI
2026-02-27 12:15:06.157,1,157875,-62,0
2026-02-27 12:15:06.158,0,157941,-63,0
2026-02-27 12:15:06.159,3,157957,-64,0
2026-02-27 12:15:06.159,1,157965,-64,0
2026-02-27 12:15:06.159,3,157987,-65,0
2026-02-27 12:15:06.160,3,158017,-70,0
2026-02-27 12:15:06.160,0,158031,-61,0
2026-02-27 12:15:06.161,3,158047,-65,0
2026-02-27 12:15:06.161,1,158085,-63,0
2026-02-27 12:15:06.162,0,158121,-65,0
2026-02-27 12:15:06.163,3,158137,-67,0
2026-02-27 12:15:06.163,1,158175,-63,0
2026-02-27 12:15:06.163,3,158227,-69,0
2026-02-27 12:15:06.164,0,158241,-64,0
2026-02-27 12:15:06.164,1,158295,-66,0
2026-02-27 12:15:06.165,3,158317,-68,0
2026-02-27 12:15:06.165,0,158331,-62,0
2026-02-27 12:15:06.166,1,158385,-63,0
2026-02-27 12:15:06.166,3,158437,-62,0
2026-02-27 12:15:06.167,0,158451,-61,0
2026-02-27 12:15:06.167,1,158475,-65,0
2026-02-27 12:15:06.168,3,158527,-65,0
2026-02-27 12:15:06.168,0,158541,-62,0
2026-02-27 12:15:06.168,3,158617,-70,0
2026-02-27 12:15:06.169,1,158625,-63,0
2026-02-27 12:15:06.169,0,158631,-64,0
2026-02-27 12:15:06.170,1,158685,-63,0
2026-02-27 12:15:06.170,3,158737,-65,0
2026-02-27 12:15:06.171,0,158751,-62,0
2026-02-27 12:15:06.171,1,158775,-64,0
2026-02-27 12:15:06.171,3,158827,-66,0
2026-02-27 12:15:06.172,0,158841,-64,0
2026-02-27 12:15:06.225,1,158895,-65,0
2026-02-27 12:15:06.260,0,158931,-61,0
2026-02-27 12:15:06.276,3,158947,-70,0
2026-02-27 12:15:06.315,1,158985,-63,0
2026-02-27 12:15:06.366,3,159037,-70,0
2026-02-27 12:15:06.380,0,159051,-58,0
2026-02-27 12:15:06.405,1,159075,-65,0
2026-02-27 12:15:06.457,3,159127,-65,0
2026-02-27 12:15:06.470,0,159141,-60,0
2026-02-27 12:15:06.525,1,159195,-65,0
2026-02-27 12:15:06.560,0,159231,-60,0
2026-02-27 12:15:06.576,3,159247,-65,0
2026-02-27 12:15:06.615,1,159285,-66,0
2026-02-27 12:15:06.667,3,159337,-64,0
2026-02-27 12:15:06.680,0,159351,-60,0
2026-02-27 12:15:06.705,1,159375,-64,0
2026-02-27 12:15:06.756,3,159427,-67,0
2026-02-27 12:15:06.770,0,159441,-63,0
2026-02-27 12:15:06.825,1,159495,-65,0
2026-02-27 12:15:06.861,0,159531,-61,0
2026-02-27 12:15:06.876,3,159547,-73,0
2026-02-27 12:15:06.915,1,159585,-64,0
2026-02-27 12:15:06.981,0,159651,-62,0
2026-02-27 12:15:06.996,3,159667,-65,0
2026-02-27 12:15:07.005,1,159675,-64,0
2026-02-27 12:15:07.057,3,159727,-66,0
2026-02-27 12:15:07.070,0,159741,-61,0
2026-02-27 12:15:07.125,1,159795,-63,0
2026-02-27 12:15:07.160,0,159831,-61,0
2026-02-27 12:15:07.176,3,159847,-81,0
2026-02-27 12:15:07.215,1,159885,-64,0
2026-02-27 12:15:07.267,3,159937,-77,0
2026-02-27 12:15:07.280,0,159951,-59,0
2026-02-27 12:15:07.305,1,159975,-63,0
2026-02-27 12:15:07.370,0,160041,-61,0
2026-02-27 12:15:07.386,3,160057,-63,0
2026-02-27 12:15:07.455,1,160125,-64,0
2026-02-27 12:15:07.477,3,160147,-62,0
2026-02-27 12:15:07.491,0,160161,-62,0
2026-02-27 12:15:07.515,1,160185,-66,0
2026-02-27 12:15:07.566,3,160237,-67,0
2026-02-27 12:15:07.580,0,160251,-62,0
2026-02-27 12:15:07.665,1,160335,-66,0
2026-02-27 12:15:07.687,3,160357,-64,0
2026-02-27 12:15:07.700,0,160371,-64,0
2026-02-27 12:15:07.725,1,160395,-65,0
2026-02-27 12:15:07.776,3,160447,-62,0
2026-02-27 12:15:07.790,0,160461,-62,0
2026-02-27 12:15:07.815,1,160485,-63,0
2026-02-27 12:15:07.867,3,160537,-62,0
2026-02-27 12:15:07.880,0,160551,-63,0
2026-02-27 12:15:07.894,4,160564,-67,0
2026-02-27 12:15:07.965,1,160635,-57,0
2026-02-27 12:15:07.987,3,160657,-61,0
2026-02-27 12:15:08.000,0,160671,-68,0
2026-02-27 12:15:08.013,4,160684,-65,0
2026-02-27 12:15:08.025,1,160695,-56,0
2026-02-27 12:15:08.077,3,160747,-60,0
2026-02-27 12:15:08.090,0,160761,-64,0
2026-02-27 12:15:08.104,4,160774,-71,0
2026-02-27 12:15:08.115,1,160785,-60,0
2026-02-27 12:15:08.166,3,160837,-64,0
2026-02-27 12:15:08.180,0,160851,-66,0
2026-02-27 12:15:08.265,1,160935,-58,0
2026-02-27 12:15:08.286,3,160957,-66,0
2026-02-27 12:15:08.300,0,160971,-70,0
2026-02-27 12:15:08.325,1,160995,-57,0
2026-02-27 12:15:08.376,3,161047,-60,0
2026-02-27 12:15:08.390,0,161061,-70,0
2026-02-27 12:15:08.404,4,161074,-68,0
2026-02-27 12:15:08.415,1,161085,-56,0
2026-02-27 12:15:08.434,4,161104,-69,0
2026-02-27 12:15:08.464,4,161134,-66,0
2026-02-27 12:15:08.480,0,161151,-70,0
2026-02-27 12:15:08.497,3,161167,-61,0
2026-02-27 12:15:08.553,4,161224,-72,0
2026-02-27 12:15:08.564,1,161235,-57,0
2026-02-27 12:15:08.587,3,161257,-61,0
2026-02-27 12:15:08.600,0,161271,-67,0
2026-02-27 12:15:08.625,1,161295,-57,0
2026-02-27 12:15:08.644,4,161314,-71,0
2026-02-27 12:15:08.676,3,161347,-62,0
2026-02-27 12:15:08.690,0,161361,-69,0
2026-02-27 12:15:08.704,4,161374,-76,0
2026-02-27 12:15:08.775,1,161445,-61,0
2026-02-27 12:15:08.781,0,161451,-77,0
2026-02-27 12:15:08.793,4,161464,-68,0
2026-02-27 12:15:08.797,3,161467,-62,0
2026-02-27 12:15:08.835,1,161505,-58,0
2026-02-27 12:15:08.887,3,161557,-62,0
2026-02-27 12:15:08.925,1,161595,-58,0
2026-02-27 12:15:08.943,4,161614,-70,0
2026-02-27 12:15:08.960,0,161631,-79,0
2026-02-27 12:15:08.976,3,161647,-64,0
2026-02-27 12:15:09.034,4,161704,-69,0
2026-02-27 12:15:09.075,1,161745,-59,0
2026-02-27 12:15:09.096,3,161767,-64,0
2026-02-27 12:15:09.123,4,161794,-70,0
2026-02-27 12:15:09.134,1,161805,-56,0
2026-02-27 12:15:09.186,3,161857,-67,0
2026-02-27 12:15:09.200,0,161871,-81,0
2026-02-27 12:15:09.213,4,161884,-68,0
2026-02-27 12:15:09.225,1,161895,-63,0
2026-02-27 12:15:09.260,0,161931,-71,0
2026-02-27 12:15:09.276,3,161947,-65,0
2026-02-27 12:15:09.290,0,161961,-70,0
2026-02-27 12:15:09.333,4,162004,-72,0
2026-02-27 12:15:09.374,1,162045,-57,0
2026-02-27 12:15:09.380,0,162051,-70,0
2026-02-27 12:15:09.396,3,162067,-61,0
2026-02-27 12:15:09.424,4,162094,-67,0
2026-02-27 12:15:09.435,1,162105,-57,0
2026-02-27 12:15:09.440,0,162111,-70,0
2026-02-27 12:15:09.487,3,162157,-60,0
2026-02-27 12:15:09.514,4,162184,-73,0
2026-02-27 12:15:09.576,3,162247,-62,0
