Script started on 2026-02-27 09:23:32+01:00 [COMMAND="make term" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="80" LINES="24"]
/bin/sh: 1: arm-none-eabi-gcc: not found
/home/aliteo/iotcomms-project/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-aliteo" -rn "2026-02-27_09.23.32-link-quality-fingerprint-adafruit-feather-nrf52840-sense"  
Twisted not available, please install it if you want to use pyterm's JSON capabilities
2026-02-27 09:23:32,927 # Connect to serial port /dev/ttyACM0
2026-02-27 09:23:35,650 # [DATA] 0, 262545, -62, 0
Welcome to pyterm!
Type '/exit' to exit.
2026-02-27 09:23:35,651 # [DATA] 1, 262557, -57, 0
2026-02-27 09:23:35,651 # [DATA] 3, 262593, -71, 0
2026-02-27 09:23:35,651 # [DATA] 2, 262599, -69, 0
2026-02-27 09:23:35,651 # [DATA] 1, 262647, -56, 0
2026-02-27 09:23:35,651 # [DATA] 0, 262650, -62, 0
2026-02-27 09:23:35,652 # [DATA] 2, 262704, -68, 0
2026-02-27 09:23:35,652 # [DATA] 3, 262713, -72, 0
2026-02-27 09:23:35,652 # [DATA] 0, 262740, -62, 0
2026-02-27 09:23:35,652 # [DATA] 1, 262752, -55, 0
2026-02-27 09:23:35,652 # [DATA] 3, 262773, -72, 0
2026-02-27 09:23:35,652 # [DATA] 2, 262794, -67, 0
2026-02-27 09:23:35,652 # [DATA] 0, 262845, -62, 0
2026-02-27 09:23:35,652 # [DATA] 1, 262857, -58, 0
2026-02-27 09:23:35,652 # [DATA] 2, 262899, -64, 0
2026-02-27 09:23:35,653 # [DATA] 3, 262923, -69, 0
2026-02-27 09:23:35,653 # [DATA] 1, 262947, -56, 0
2026-02-27 09:23:35,653 # [DATA] 0, 262950, -61, 0
2026-02-27 09:23:35,653 # [DATA] 3, 262983, -70, 0
2026-02-27 09:23:35,653 # [DATA] 2, 263004, -63, 0
2026-02-27 09:23:35,653 # [DATA] 0, 263040, -61, 0
2026-02-27 09:23:35,653 # [DATA] 1, 263052, -56, 0
2026-02-27 09:23:35,653 # [DATA] 2, 263094, -62, 0
2026-02-27 09:23:35,654 # [DATA] 3, 263103, -73, 0
2026-02-27 09:23:35,654 # [DATA] 0, 263145, -61, 0
2026-02-27 09:23:35,654 # [DATA] 1, 263157, -55, 0
2026-02-27 09:23:35,654 # [DATA] 3, 263163, -67, 0
2026-02-27 09:23:35,654 # [DATA] 2, 263199, -66, 0
2026-02-27 09:23:35,654 # [DATA] 1, 263247, -57, 0
2026-02-27 09:23:35,654 # [DATA] 0, 263251, -63, 0
2026-02-27 09:23:35,654 # [DATA] 3, 263283, -74, 0
2026-02-27 09:23:35,655 # [DATA] 2, 263304, -64, 0
2026-02-27 09:23:35,655 # [DATA] 0, 263341, -63, 0
2026-02-27 09:23:35,655 # [DATA] 1, 263352, -55, 0
2026-02-27 09:23:35,655 # [DATA] 2, 263394, -66, 0
2026-02-27 09:23:35,655 # [DATA] 3, 263403, -70, 0
2026-02-27 09:23:35,655 # [DATA] 0, 263446, -62, 0
2026-02-27 09:23:35,655 # [DATA] 1, 263457, -56, 0
2026-02-27 09:23:35,655 # [DATA] 3, 263463, -70, 0
2026-02-27 09:23:35,656 # [DATA] 2, 263499, -67, 0
2026-02-27 09:23:35,698 # [DATA] 0, 263551, -62, 0
2026-02-27 09:23:35,709 # [DATA] 1, 263562, -55, 0
2026-02-27 09:23:35,730 # [DATA] 3, 263583, -70, 0
2026-02-27 09:23:35,751 # [DATA] 2, 263604, -68, 0
2026-02-27 09:23:35,799 # [DATA] 1, 263652, -55, 0
2026-02-27 09:23:35,804 # [DATA] 0, 263656, -61, 0
2026-02-27 09:23:35,841 # [DATA] 2, 263694, -66, 0
2026-02-27 09:23:35,850 # [DATA] 3, 263703, -70, 0
2026-02-27 09:23:35,893 # [DATA] 0, 263746, -61, 0
2026-02-27 09:23:35,904 # [DATA] 1, 263757, -55, 0
2026-02-27 09:23:35,910 # [DATA] 3, 263763, -71, 0
2026-02-27 09:23:35,946 # [DATA] 2, 263799, -65, 0
2026-02-27 09:23:35,998 # [DATA] 0, 263851, -60, 0
2026-02-27 09:23:36,009 # [DATA] 1, 263862, -57, 0
2026-02-27 09:23:36,030 # [DATA] 3, 263883, -71, 0
2026-02-27 09:23:36,051 # [DATA] 2, 263904, -63, 0
2026-02-27 09:23:36,099 # [DATA] 1, 263952, -57, 0
2026-02-27 09:23:36,102 # [DATA] 0, 263956, -62, 0
2026-02-27 09:23:36,150 # [DATA] 3, 264003, -72, 0
2026-02-27 09:23:36,156 # [DATA] 2, 264009, -64, 0
2026-02-27 09:23:36,193 # [DATA] 0, 264046, -60, 0
2026-02-27 09:23:36,204 # [DATA] 1, 264057, -57, 0
2026-02-27 09:23:36,240 # [DATA] 3, 264093, -73, 0
2026-02-27 09:23:36,247 # [DATA] 2, 264099, -63, 0
2026-02-27 09:23:36,298 # [DATA] 0, 264151, -62, 0
2026-02-27 09:23:36,309 # [DATA] 1, 264162, -56, 0
2026-02-27 09:23:36,351 # [DATA] 2, 264204, -63, 0
2026-02-27 09:23:36,360 # [DATA] 3, 264213, -74, 0
2026-02-27 09:23:36,403 # [DATA] 0, 264256, -62, 0
2026-02-27 09:23:36,414 # [DATA] 1, 264267, -58, 0
2026-02-27 09:23:36,421 # [DATA] 3, 264273, -72, 0
2026-02-27 09:23:36,456 # [DATA] 2, 264309, -62, 0
2026-02-27 09:23:36,504 # [DATA] 1, 264357, -56, 0
2026-02-27 09:23:36,507 # [DATA] 0, 264361, -62, 0
2026-02-27 09:23:36,540 # [DATA] 3, 264394, -72, 0
2026-02-27 09:23:36,561 # [DATA] 2, 264414, -62, 0
