Timestamp,NodeID,Environment,RSSI,LQI
2026-02-27 09:38:06.648,0,166329,-62,0
2026-02-27 09:38:06.648,4,166337,-61,0
2026-02-27 09:38:06.648,3,166385,-73,0
2026-02-27 09:38:06.649,2,166398,-77,0
2026-02-27 09:38:06.649,4,166427,-61,0
2026-02-27 09:38:06.649,0,166434,-62,0
2026-02-27 09:38:06.650,3,166445,-76,0
2026-02-27 09:38:06.650,2,166458,-84,0
2026-02-27 09:38:06.650,2,166488,-84,0
2026-02-27 09:38:06.651,4,166532,-62,0
2026-02-27 09:38:06.651,0,166539,-63,0
2026-02-27 09:38:06.651,3,166565,-72,0
2026-02-27 09:38:06.651,2,166593,-78,0
2026-02-27 09:38:06.652,4,166622,-62,0
2026-02-27 09:38:06.652,0,166629,-62,0
2026-02-27 09:38:06.652,3,166655,-70,0
2026-02-27 09:38:06.653,2,166713,-81,0
2026-02-27 09:38:06.653,4,166727,-61,0
2026-02-27 09:38:06.653,0,166734,-62,0
2026-02-27 09:38:06.653,3,166745,-77,0
2026-02-27 09:38:06.653,2,166803,-75,0
2026-02-27 09:38:06.654,4,166832,-62,0
2026-02-27 09:38:06.654,0,166839,-59,0
2026-02-27 09:38:06.654,3,166850,-78,0
2026-02-27 09:38:06.654,2,166878,-75,0
2026-02-27 09:38:06.654,4,166937,-63,0
2026-02-27 09:38:06.654,0,166944,-63,0
2026-02-27 09:38:06.654,3,166955,-73,0
2026-02-27 09:38:06.654,2,167013,-75,0
2026-02-27 09:38:06.654,4,167027,-61,0
2026-02-27 09:38:06.654,0,167034,-64,0
2026-02-27 09:38:06.654,3,167060,-72,0
2026-02-27 09:38:06.654,2,167088,-71,0
2026-02-27 09:38:06.655,4,167132,-61,0
2026-02-27 09:38:06.655,0,167139,-65,0
2026-02-27 09:38:06.655,3,167150,-74,0
2026-02-27 09:38:06.655,2,167193,-77,0
2026-02-27 09:38:06.655,4,167237,-61,0
2026-02-27 09:38:06.655,0,167244,-63,0
2026-02-27 09:38:06.655,3,167255,-77,0
2026-02-27 09:38:06.675,2,167283,-73,0
2026-02-27 09:38:06.726,0,167334,-63,0
2026-02-27 09:38:06.733,4,167342,-62,0
2026-02-27 09:38:06.752,3,167360,-78,0
2026-02-27 09:38:06.780,2,167388,-74,0
2026-02-27 09:38:06.823,4,167432,-63,0
2026-02-27 09:38:06.831,0,167439,-62,0
2026-02-27 09:38:06.857,3,167465,-70,0
2026-02-27 09:38:06.870,2,167478,-74,0
2026-02-27 09:38:06.929,4,167537,-63,0
2026-02-27 09:38:06.936,0,167544,-63,0
2026-02-27 09:38:06.947,3,167555,-79,0
2026-02-27 09:38:06.975,2,167583,-74,0
2026-02-27 09:38:07.026,0,167634,-62,0
2026-02-27 09:38:07.033,4,167642,-62,0
2026-02-27 09:38:07.052,3,167660,-70,0
2026-02-27 09:38:07.080,2,167688,-71,0
2026-02-27 09:38:07.123,4,167732,-63,0
2026-02-27 09:38:07.131,0,167739,-64,0
2026-02-27 09:38:07.142,3,167750,-76,0
2026-02-27 09:38:07.170,2,167778,-74,0
2026-02-27 09:38:07.229,4,167837,-63,0
2026-02-27 09:38:07.236,0,167844,-65,0
2026-02-27 09:38:07.262,3,167870,-80,0
2026-02-27 09:38:07.275,2,167883,-76,0
2026-02-27 09:38:07.326,0,167934,-64,0
2026-02-27 09:38:07.333,4,167942,-62,0
2026-02-27 09:38:07.352,3,167960,-80,0
2026-02-27 09:38:07.380,2,167988,-73,0
2026-02-27 09:38:07.424,4,168032,-63,0
2026-02-27 09:38:07.431,0,168039,-62,0
2026-02-27 09:38:07.457,3,168065,-72,0
2026-02-27 09:38:07.485,2,168093,-72,0
2026-02-27 09:38:07.529,4,168137,-62,0
2026-02-27 09:38:07.536,0,168144,-63,0
2026-02-27 09:38:07.547,3,168155,-74,0
2026-02-27 09:38:07.605,2,168213,-77,0
2026-02-27 09:38:07.633,4,168242,-62,0
2026-02-27 09:38:07.641,0,168249,-64,0
2026-02-27 09:38:07.652,3,168260,-71,0
2026-02-27 09:38:07.710,2,168318,-72,0
2026-02-27 09:38:07.731,0,168339,-66,0
2026-02-27 09:38:07.738,4,168347,-62,0
2026-02-27 09:38:07.757,3,168365,-73,0
2026-02-27 09:38:07.800,2,168408,-81,0
2026-02-27 09:38:07.829,4,168437,-62,0
2026-02-27 09:38:07.836,0,168444,-65,0
2026-02-27 09:38:07.847,3,168455,-69,0
2026-02-27 09:38:07.875,2,168483,-76,0
2026-02-27 09:38:07.934,4,168542,-61,0
2026-02-27 09:38:07.941,0,168549,-60,0
2026-02-27 09:38:07.952,3,168560,-71,0
2026-02-27 09:38:08.010,2,168618,-75,0
2026-02-27 09:38:08.031,0,168639,-63,0
2026-02-27 09:38:08.038,4,168647,-62,0
2026-02-27 09:38:08.057,3,168665,-72,0
2026-02-27 09:38:08.100,2,168708,-78,0
2026-02-27 09:38:08.129,4,168737,-60,0
2026-02-27 09:38:08.136,0,168744,-59,0
2026-02-27 09:38:08.147,3,168755,-73,0
2026-02-27 09:38:08.175,2,168783,-79,0
2026-02-27 09:38:08.234,4,168842,-62,0
2026-02-27 09:38:08.241,0,168849,-64,0
2026-02-27 09:38:08.252,3,168860,-73,0
2026-02-27 09:38:08.280,2,168888,-75,0
2026-02-27 09:38:08.331,0,168939,-64,0
2026-02-27 09:38:08.338,4,168947,-62,0
2026-02-27 09:38:08.357,3,168965,-77,0
2026-02-27 09:38:08.400,2,169008,-80,0
2026-02-27 09:38:08.428,4,169037,-62,0
2026-02-27 09:38:08.436,0,169044,-64,0
2026-02-27 09:38:08.462,3,169070,-71,0
2026-02-27 09:38:08.505,2,169113,-78,0
2026-02-27 09:38:08.533,4,169142,-62,0
2026-02-27 09:38:08.541,0,169149,-62,0
2026-02-27 09:38:08.583,3,169190,-78,0
2026-02-27 09:38:08.646,0,169254,-61,0
2026-02-27 09:38:08.657,3,169265,-78,0
2026-02-27 09:38:08.736,0,169344,-58,0
2026-02-27 09:38:08.762,3,169370,-72,0
2026-02-27 09:38:08.841,0,169449,-60,0
2026-02-27 09:38:08.852,3,169460,-70,0
2026-02-27 09:38:08.946,0,169554,-58,0
2026-02-27 09:38:08.955,2,169563,-78,0
2026-02-27 09:38:08.957,3,169566,-72,0
2026-02-27 09:38:08.968,4,169577,-61,0
2026-02-27 09:38:08.971,2,169579,-73,0
2026-02-27 09:38:08.984,4,169592,-62,0
2026-02-27 09:38:09.015,2,169623,-76,0
2026-02-27 09:38:09.036,0,169644,-61,0
2026-02-27 09:38:09.062,3,169670,-75,0
2026-02-27 09:38:09.089,4,169697,-61,0
2026-02-27 09:38:09.091,2,169699,-73,0
2026-02-27 09:38:09.119,4,169727,-62,0
2026-02-27 09:38:09.121,2,169729,-75,0
2026-02-27 09:38:09.141,0,169749,-63,0
2026-02-27 09:38:09.150,2,169758,-73,0
2026-02-27 09:38:09.152,3,169761,-78,0
2026-02-27 09:38:09.163,4,169772,-61,0
2026-02-27 09:38:09.209,4,169817,-60,0
2026-02-27 09:38:09.246,0,169854,-63,0
2026-02-27 09:38:09.257,3,169865,-79,0
2026-02-27 09:38:09.285,2,169893,-74,0
2026-02-27 09:38:09.299,4,169907,-61,0
2026-02-27 09:38:09.301,2,169909,-74,0
2026-02-27 09:38:09.329,4,169937,-60,0
2026-02-27 09:38:09.351,0,169959,-65,0
2026-02-27 09:38:09.362,3,169970,-72,0
2026-02-27 09:38:09.390,2,169998,-74,0
2026-02-27 09:38:09.419,4,170027,-62,0
2026-02-27 09:38:09.441,0,170049,-61,0
2026-02-27 09:38:09.467,3,170075,-77,0
2026-02-27 09:38:09.510,2,170118,-74,0
2026-02-27 09:38:09.538,4,170147,-62,0
2026-02-27 09:38:09.546,0,170154,-57,0
2026-02-27 09:38:09.557,3,170165,-73,0
2026-02-27 09:38:09.600,2,170208,-78,0
2026-02-27 09:38:09.651,0,170259,-59,0
2026-02-27 09:38:09.659,4,170267,-62,0
2026-02-27 09:38:09.662,3,170270,-74,0
2026-02-27 09:38:09.690,2,170298,-79,0
2026-02-27 09:38:09.719,4,170327,-63,0
2026-02-27 09:38:09.741,0,170349,-61,0
2026-02-27 09:38:09.767,3,170375,-74,0
2026-02-27 09:38:09.780,2,170388,-73,0
2026-02-27 09:38:09.839,4,170447,-65,0
2026-02-27 09:38:09.846,0,170454,-64,0
2026-02-27 09:38:09.857,3,170465,-77,0
2026-02-27 09:38:09.885,2,170493,-78,0
2026-02-27 09:38:09.944,4,170552,-60,0
2026-02-27 09:38:09.951,0,170559,-66,0
2026-02-27 09:38:09.962,3,170570,-72,0
2026-02-27 09:38:09.990,2,170598,-75,0
2026-02-27 09:38:10.041,0,170649,-62,0
2026-02-27 09:38:10.048,4,170657,-62,0
2026-02-27 09:38:10.067,3,170675,-75,0
2026-02-27 09:38:10.080,2,170688,-77,0
2026-02-27 09:38:10.139,4,170747,-62,0
2026-02-27 09:38:10.146,0,170754,-59,0
2026-02-27 09:38:10.172,3,170780,-72,0
2026-02-27 09:38:10.200,2,170808,-77,0
2026-02-27 09:38:10.243,4,170852,-62,0
2026-02-27 09:38:10.251,0,170859,-59,0
2026-02-27 09:38:10.262,3,170870,-73,0
2026-02-27 09:38:10.290,2,170898,-72,0
2026-02-27 09:38:10.349,4,170957,-62,0
2026-02-27 09:38:10.356,0,170964,-60,0
2026-02-27 09:38:10.367,3,170975,-73,0
2026-02-27 09:38:10.410,2,171018,-74,0
2026-02-27 09:38:10.424,4,171032,-61,0
2026-02-27 09:38:10.446,0,171054,-63,0
2026-02-27 09:38:10.472,3,171080,-74,0
